,종목코드,기업명
463,014440,영보화학
464,111770,영원무역
465,009970,영원무역홀딩스
466,003520,영진약품
467,000670,영풍
468,006740,영풍제지
469,012280,영화금속
470,012160,영흥철강
471,015360,예스코홀딩스
472,007310,오뚜기
473,079440,오렌지라이프
474,002630,오리엔트바이오
475,271560,오리온
476,001800,오리온홀딩스
477,070960,용평리조트
478,316140,우리금융지주
479,004720,우리들제약
480,118000,우리들휴브레인
481,010050,우리종금
482,006980,우성사료
483,017370,우신시스템
484,105840,우진
485,010400,우진아이엔에스
486,049800,우진플라임
487,016880,웅진
488,095720,웅진씽크빅
489,103130,웅진에너지
490,021240,웅진코웨이
491,005820,원림
492,010600,웰바이오텍
493,008600,윌비스
494,033270,유나이티드
495,014830,유니드
496,000910,유니온
497,047400,유니온머티리얼
498,011330,유니켐
499,077500,유니퀘스트
500,002920,유성기업
501,000700,유수홀딩스
502,003470,유안타증권
503,011690,유양디앤유
504,072130,유엔젤
505,000220,유유제약
506,001200,유진증권
507,000100,유한양행
508,003460,유화증권
509,008730,율촌화학
510,008250,이건산업
511,025820,이구산업
512,214320,이노션
513,088260,이리츠코크렙
514,139480,이마트
515,007660,이수페타시스
516,005950,이수화학
517,015020,이스타코
518,093230,이아이디
519,102460,이연제약
520,084680,이월드
521,000760,이화산업
522,014990,인디에프
523,006490,인스코비
524,023800,인지컨트롤스
525,034590,인천도시가스
526,129260,인터지스
527,023810,인팩
528,249420,일동제약
529,000230,일동홀딩스
530,013360,일성건설
531,003120,일성신약
532,003200,일신방직
533,007110,일신석재
534,007570,일양약품
535,008500,일정실업
536,081000,일진다이아
537,020760,일진디스플
538,020150,일진머티리얼즈
539,103590,일진전기
540,015860,일진홀딩스
541,226320,잇츠한불
542,033240,자화전자
543,000950,전방
544,194370,제이에스코퍼레이션
545,025620,제이준코스메틱
546,030000,제일기획
547,271980,제일약품
548,001560,제일연마
549,002620,제일파마홀딩스
550,006220,제주은행
551,089590,제주항공
552,004910,조광페인트
553,004700,조광피혁
554,001550,조비
555,000480,조선내화
556,120030,조선선재
557,018470,조일알미늄
558,002600,조흥
559,185750,종근당
560,063160,종근당바이오
561,001630,종근당홀딩스
562,044380,주연테크
563,013870,지엠비코리아
564,071320,지역난방공사
565,010580,지코
566,035000,지투알
567,088790,진도
568,003780,진양산업
569,010640,진양폴리우레탄
570,100250,진양홀딩스
571,051630,진양화학
572,272450,진에어
573,011000,진원생명과학
574,002780,진흥기업
575,009310,참엔지니어링
576,000650,천일고속
577,012600,청호컴넷
578,033250,체시스
579,001140,카리스국보
580,035720,카카오
581,006380,카프로
582,109070,컨버즈
583,001620,케이비아이동국실업
584,029460,케이씨
585,002380,케이씨씨
586,281820,케이씨텍
587,009070,케이씨티시
588,145270,케이탑리츠
589,030200,케이티
590,053210,케이티스카이라이프
591,033780,케이티앤지
592,007810,코리아써키트
593,152330,코리아오토글라스
594,003690,코리안리
595,192820,코스맥스
596,044820,코스맥스비티아이
597,005070,코스모신소재
598,005420,코스모화학
599,071950,코아스
600,002020,코오롱
601,003070,코오롱글로벌
602,144620,코오롱머티리얼
603,120110,코오롱인더
604,138490,코오롱플라스틱
605,031820,콤텍시스템
606,192400,쿠쿠홀딩스
607,284740,쿠쿠홈시스
608,015590,큐로
609,264900,크라운제과
610,005740,크라운해태홀딩스
611,020120,키다리스튜디오
612,039490,키움증권
613,012170,키위미디어그룹
614,015890,태경산업
615,006890,태경화학
616,003240,태광산업
617,011280,태림포장
618,004100,태양금속공업
619,009410,태영건설
620,001420,태원물산
621,007980,태평양물산
622,055490,테이팩스
623,078000,텔코웨어
624,214420,토니모리
625,084870,티비에이치글로벌
626,019180,티에이치엔
627,091810,티웨이항공
628,004870,티웨이홀딩스
629,005690,파미셀
630,036580,팜스코
631,028670,팬오션
632,010820,퍼스텍
633,016800,퍼시스
634,001020,페이퍼코리아
635,090080,평화산업
636,010770,평화홀딩스
637,005490,포스코
638,058430,포스코강판
639,047050,포스코인터내셔널
640,003670,포스코케미칼
641,007630,폴루스바이오팜
642,017810,풀무원
643,103140,풍산
644,005810,풍산홀딩스
645,033180,필룩스
646,086790,하나금융지주
647,099340,하나니켈1호
648,099350,하나니켈2호
649,293480,하나제약
650,039130,하나투어
651,172580,하이골드12호
652,153360,하이골드3호
653,159650,하이골드8호
654,071090,하이스틸
655,019490,하이트론씨스템즈
656,000080,하이트진로
657,000140,하이트진로홀딩스
658,152550,한국ANKOR유전
659,036460,한국가스공사
660,005430,한국공항
661,071050,한국금융지주
662,010040,한국내화
663,025540,한국단자공업
664,004090,한국석유공업
665,002200,한국수출포장공업
666,002960,한국쉘석유
667,123890,한국자산신탁
668,015760,한국전력공사
669,006200,한국전자홀딩스
670,002300,한국제지
671,009540,한국조선해양
672,023350,한국종합기술
673,025890,한국주강
674,000970,한국주철관공업
675,104700,한국철강
676,017960,한국카본
677,161890,한국콜마
678,024720,한국콜마홀딩스
679,161390,한국타이어앤테크놀로지
